Year,Distance,Engine_capacity(cm3),Price(euro),Style_ID,Transmission_ID,Fuel_type_ID
2012.0,194000,1800.0,9999.0,1,3,1
2008.0,249000,2400.0,11500.0,4,2,2
2008.0,142000,1100.0,3499.0,1,2,3
2005.0,260000,1500.0,4750.0,1,1,4
2002.0,240000,2300.0,3499.0,6,2,3
2012.0,120000,2200.0,15999.0,5,1,2
2010.0,182000,1800.0,11750.0,5,1,3
2005.0,300000,2000.0,4999.0,2,2,3
2008.0,310000,1300.0,4850.0,2,2,2
2014.0,186000,1600.0,12300.0,5,1,2
2011.0,150000,2000.0,12800.0,9,2,2
2000.0,258000,2200.0,2999.0,8,1,2
2000.0,999,2000.0,3199.0,5,1,3
2010.0,1,1400.0,8990.0,1,1,1
2016.0,151000,1500.0,13890.0,7,2,2
2008.0,46000,1746.0,7535.0,5,1,3
2010.0,257110,1500.0,4999.0,2,2,2
2016.0,167000,1500.0,12990.0,5,2,2
2018.0,114000,1800.0,16750.0,7,1,1
2017.0,157600,1500.0,11990.0,7,2,2
2014.0,190000,1800.0,8990.0,2,1,1
2017.0,119000,1800.0,18790.0,7,1,1
2018.0,145000,1500.0,16790.0,7,1,2
2016.0,150200,1500.0,13450.0,7,1,2
2015.0,149000,2500.0,21750.0,4,1,1
2006.0,216000,2000.0,5350.0,5,1,3
2016.0,88000,1500.0,15790.0,7,1,2
2002.0,4,1800.0,2700.0,5,1,3
2004.0,1,1800.0,3600.0,5,2,3
2003.0,1,2200.0,4600.0,3,2,2
2001.0,68286164,1900.0,2050.0,8,2,2
2007.0,320000,1600.0,5999.0,2,2,4
2006.0,298000,1500.0,2999.0,1,2,2
2017.0,27138,1500.0,13300.0,1,1,3
2006.0,1,2500.0,6350.0,5,1,3
2016.0,140000,1500.0,12400.0,7,1,2
2012.0,166000,1600.0,8990.0,5,1,2
2000.0,1,1400.0,2750.0,1,2,3
2009.0,223000,2000.0,8990.0,5,1,2
2006.0,198563,1400.0,5350.0,2,1,2
2008.0,202698,1746.0,7535.0,5,1,3
2000.0,230000,2000.0,2750.0,4,2,2
2008.0,82000,1746.0,7535.0,5,1,2
1995.0,250369,1800.0,2700.0,2,2,3
2005.0,250632,2000.0,2690.0,5,2,4
1998.0,300000,1900.0,1450.0,10,2,2
2012.0,165500,1200.0,5100.0,8,2,2
2010.0,1,1390.0,6099.0,1,2,3
2011.0,248000,2000.0,9900.0,4,1,3
2016.0,170000,1499.0,8890.0,2,2,2
2008.0,245000,1500.0,3600.0,2,2,2
1999.0,290000,1500.0,1800.0,2,2,3
2008.0,120000,1746.0,7535.0,7,1,4
2004.0,300,2000.0,5000.0,5,2,3
2007.0,211000,1400.0,2900.0,5,2,3
2012.0,166700,2000.0,10200.0,5,1,3
2016.0,145000,1400.0,16450.0,1,1,5
2014.0,81700,1800.0,12450.0,5,1,1
2013.0,142865,1400.0,8700.0,2,2,2
2007.0,135865,1400.0,1500.0,5,2,3
2013.0,181000,1500.0,7000.0,8,1,2
2014.0,155000,1400.0,9700.0,2,1,3
2015.0,164000,1600.0,12750.0,5,1,2
2010.0,150589,1400.0,7999.0,6,2,3
2015.0,152523,1500.0,9300.0,2,1,2
2007.0,190000,1300.0,4499.0,2,2,2
2014.0,165000,2000.0,15600.0,2,2,2
2008.0,260000,1746.0,7535.0,5,1,2
2011.0,182251,1798.0,8200.0,1,1,1
2008.0,185000,1300.0,3600.0,1,1,2
2012.0,187000,1300.0,4600.0,1,2,2
2005.0,190000,1500.0,3200.0,5,2,2
2008.0,250,1746.0,7535.0,7,1,2
2005.0,400000,2700.0,5500.0,4,1,3
2010.0,225550,2000.0,9650.0,1,1,3
2003.0,220000,1400.0,2000.0,1,2,3
2003.0,90000,1500.0,1000.0,1,2,3
2013.0,165000,1500.0,7500.0,8,2,2
2018.0,36000,1500.0,18499.0,1,1,6
2015.0,102000,1800.0,12500.0,8,1,3
2004.0,2899,2500.0,6100.0,5,2,3
2003.0,208367,2000.0,4600.0,7,2,3
2011.0,168000,1400.0,7999.0,8,2,3
2019.0,2500,1800.0,18999.0,1,1,6
2017.0,0,2200.0,21490.0,7,1,2
2004.0,190000,1896.0,6300.0,3,2,2
2011.0,210000,1400.0,6400.0,2,2,3
2014.0,160000,2000.0,12200.0,5,1,1
2004.0,180000,1500.0,3300.0,2,2,2
2008.0,100000,1746.0,7535.0,2,2,2
2007.0,202000,2700.0,14600.0,7,1,4
2017.0,170000,1422.0,8200.0,1,2,2
2001.0,1288776,1400.0,1400.0,1,2,3
2005.0,252,1400.0,4600.0,1,2,2
2013.0,198000,1400.0,8400.0,5,1,1
